time_step,total_population,resource_concentration,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_10_density,genotype_11_density,genotype_12_density,genotype_13_density,genotype_14_density,genotype_15_density,genotype_16_density,genotype_17_density,genotype_18_density,genotype_19_density,mutation_frequency,cooperation_index,competition_index,mean_fitness,mean_resistance,mean_efficiency,biofilm_fraction,hgt_events,divisions,deaths,phase_lag,phase_log,phase_stationary,phase_death,mean_antibiotic,mean_biofilm,cumulative_mutations,cumulative_hgt,total_resource_consumed
19,7680,19.121707,0.321224,0.336198,0.340755,0.0,0.0,0.000391,0.00013,0.0,0.00026,0.0,0.0,0.0,0.0,0.000781,0.00026,0.0,0.0,0.0,0.0,0.0,0.010877,0.173938,0.005619,0.468266,0.073653,1.010714,0.349609,0,1563,33,5118,2562,0,0,0.0,0.004108,92,0,28192.0439
20,9414,19.217604,0.321436,0.334183,0.342362,0.0,0.0,0.000319,0.000106,0.0,0.000319,0.000106,0.0,0.0,0.0,0.000744,0.000425,0.0,0.0,0.0,0.0,0.0,0.008974,0.18737,0.007169,0.476903,0.073535,1.010716,0.377098,2,1783,49,6221,3193,0,0,0.0,0.005354,108,2,35282.1717
21,11398,19.277018,0.319267,0.33734,0.341025,0.0,0.0,0.000351,8.8e-05,0.0,0.000351,0.000263,0.0,0.0,0.0,0.000877,0.000439,0.0,0.0,0.0,0.0,0.0,0.006544,0.195103,0.00904,0.462069,0.073613,1.009821,0.392086,0,2445,461,7615,3783,0,0,0.0,0.006983,124,2,44136.3866
22,10185,19.465738,0.322631,0.333726,0.341188,0.0,0.0,0.000393,9.8e-05,0.0,0.000393,0.000295,0.0,0.0,0.0,0.000884,0.000393,0.0,0.0,0.0,0.0,0.0,0.0,0.268312,0.011088,0.588145,0.073537,1.009828,0.539126,0,0,1213,6004,804,3377,0,0.0,0.009092,124,2,48192.9711
23,9421,19.648201,0.32279,0.33351,0.341365,0.0,0.0,0.000318,0.000106,0.0,0.000425,0.000318,0.0,0.0,0.0,0.000743,0.000425,0.0,0.0,0.0,0.0,0.0,0.0,0.306783,0.013,0.588406,0.073587,1.009683,0.615964,0,0,764,4639,919,3863,0,0.0,0.011722,124,2,52956.7501
24,10558,19.7776,0.320894,0.332733,0.344194,9.5e-05,0.0,0.000379,0.000189,0.0,0.000379,0.000284,0.0,0.0,0.0,0.000568,0.000284,0.0,0.0,0.0,0.0,0.0,0.009146,0.265712,0.015614,0.497228,0.073652,1.012243,0.534476,0,1640,503,4892,2009,3657,0,0.0,0.014964,139,2,60358.2881
25,9624,19.93595,0.318786,0.33084,0.348088,0.000104,0.0,0.000416,0.000104,0.0,0.000416,0.000312,0.0,0.0,0.0,0.000623,0.000312,0.0,0.0,0.0,0.0,0.0,0.0,0.30095,0.018195,0.589866,0.073659,1.012244,0.605777,3,0,934,3251,1222,5151,0,0.0,0.018987,139,5,67280.225
26,11502,20.019172,0.319423,0.332464,0.345418,0.000174,0.0,0.000348,8.7e-05,0.0,0.000348,0.000435,0.0,0.0,0.000174,0.000609,0.000435,0.0,0.0,8.7e-05,0.0,0.0,0.012082,0.228583,0.022514,0.462763,0.073938,1.011857,0.459833,0,2483,605,3894,2785,4823,0,0.0,0.024108,169,5,78150.7211
27,10159,20.23256,0.31696,0.331726,0.348853,0.0,0.0,0.000295,9.8e-05,0.0,0.000394,0.000394,0.0,0.0,9.8e-05,0.000689,0.000394,0.0,0.0,9.8e-05,0.0,0.0,0.0,0.287438,0.025467,0.590141,0.073632,1.012068,0.578403,0,0,1343,3440,0,6719,0,0.0,0.02805,169,5,83073.5887
28,9422,20.450196,0.31851,0.329442,0.349713,0.0,0.0,0.000212,0.000106,0.0,0.000425,0.000425,0.0,0.0,0.000106,0.000531,0.000425,0.0,0.0,0.000106,0.0,0.0,0.0,0.322603,0.028949,0.59029,0.073823,1.011791,0.648801,0,0,737,3209,0,6213,0,0.0,0.031763,169,5,87793.3721
29,9729,20.613734,0.318018,0.329016,0.350704,0.0,0.0,0.000206,0.000103,0.0,0.000411,0.000411,0.0,0.0,0.000103,0.000514,0.000411,0.0,0.0,0.000103,0.0,0.0,0.008974,0.315126,0.033041,0.54322,0.073497,1.012196,0.634084,0,780,473,2737,1105,5887,0,0.0,0.036704,176,5,95767.7469
30,10277,20.781441,0.317992,0.325776,0.354092,0.0,0.0,0.000195,0.000195,0.0,0.000487,0.000292,0.0,0.0,9.7e-05,0.000487,0.000292,0.0,0.0,9.7e-05,0.0,0.0,0.008584,0.29366,0.036668,0.523766,0.073457,1.013498,0.592099,4,1165,617,3730,1022,5525,0,0.0,0.040942,186,9,103158.0025
31,9447,20.911854,0.317667,0.326876,0.35334,0.0,0.0,0.000212,0.000212,0.0,0.000529,0.000318,0.0,0.0,0.000106,0.000423,0.000212,0.0,0.0,0.000106,0.0,0.0,0.0,0.35083,0.040499,0.591321,0.073343,1.013683,0.707738,0,0,830,1752,1692,6003,0,0.0,0.047202,186,9,113774.2527
32,11025,21.051252,0.319456,0.329161,0.349116,0.0,0.0,0.000181,0.000272,0.0,0.000454,0.000363,0.0,0.0,0.000181,0.000363,0.000272,0.0,0.0,0.000181,0.0,0.0,0.010451,0.281138,0.043402,0.478661,0.073324,1.012646,0.566077,0,2105,527,3766,1581,5678,0,0.0,0.052408,208,9,123381.1559
33,9873,21.266131,0.319457,0.330396,0.347919,0.0,0.0,0.000203,0.000203,0.0,0.000506,0.000304,0.0,0.0,0.000203,0.000304,0.000304,0.0,0.0,0.000203,0.0,0.0,0.0,0.36555,0.046976,0.591126,0.073408,1.012577,0.735947,0,0,1152,3378,0,6495,0,0.0,0.057245,208,9,129818.2846
34,9677,21.456732,0.323034,0.327891,0.347008,0.0,0.0,0.00031,0.0,0.0,0.000517,0.000207,0.0,0.0,0.000207,0.00031,0.00031,0.0,0.0,0.000207,0.0,0.0,0.007859,0.362938,0.050254,0.560159,0.073533,1.013995,0.730185,0,509,705,3117,546,6014,0,0.0,0.062236,212,9,137495.8011
35,10598,21.610283,0.322797,0.32374,0.351481,0.0,0.0,0.000283,0.0,0.0,0.000661,0.000189,0.0,0.0,0.000189,0.000283,0.000189,0.0,0.0,0.000189,0.0,0.0,0.01043,0.332726,0.053767,0.506453,0.073532,1.013818,0.669749,2,1534,613,3672,1299,5627,0,0.0,0.067783,228,11,147282.1412
36,9600,21.826693,0.323125,0.323437,0.351354,0.0,0.0,0.000313,0.0,0.0,0.000729,0.000208,0.0,0.0,0.000104,0.000313,0.000208,0.0,0.0,0.000208,0.0,0.0,0.0,0.39547,0.056433,0.592223,0.073447,1.01379,0.795417,0,0,998,3339,0,6261,0,0.0,0.072666,228,11,154147.1007
37,10075,21.973106,0.320099,0.328238,0.34928,0.0,0.0,0.000298,0.0,0.0,0.000794,0.000199,0.0,9.9e-05,0.000199,0.000298,0.000298,0.0,0.0,0.000199,0.0,0.0,0.008842,0.363548,0.060056,0.525901,0.073583,1.015318,0.73072,0,1131,656,2843,1395,5837,0,0.0,0.078876,238,11,165068.8644
38,9296,22.188047,0.317556,0.329927,0.350151,0.0,0.0,0.000323,0.0,0.0,0.000753,0.000215,0.0,0.000108,0.000215,0.000323,0.000215,0.0,0.0,0.000215,0.0,0.0,0.0,0.405772,0.062411,0.593271,0.07389,1.015144,0.814867,0,0,779,2639,0,6657,0,0.0,0.084173,238,11,172647.5623
39,9485,22.386505,0.313548,0.333474,0.350448,0.0,0.0,0.000316,0.0,0.000105,0.000843,0.000211,0.0,0.0,0.000211,0.000422,0.000211,0.0,0.0,0.000211,0.0,0.0,0.012483,0.38253,0.06624,0.548319,0.074079,1.015522,0.768371,0,721,532,2855,362,6268,0,0.0,0.089367,247,11,180963.3594
40,9929,22.533226,0.31544,0.327525,0.354517,0.0,0.0,0.000403,0.0,0.000101,0.000604,0.000201,0.000101,0.000101,0.000201,0.000302,0.000201,0.0,0.0,0.000302,0.0,0.0,0.009398,0.372001,0.070288,0.530108,0.074086,1.016903,0.747608,1,1064,620,2686,1398,5845,0,0.0,0.095457,257,12,192326.1097
41,10811,22.686575,0.315049,0.327444,0.355194,0.0,0.0,0.000277,0.0,0.0,0.000647,0.000185,9.2e-05,9.2e-05,0.000277,0.000277,0.000185,0.0,0.0,0.000277,0.0,0.0,0.010322,0.352162,0.073626,0.503806,0.074061,1.017878,0.709185,0,1647,765,4125,1286,5400,0,0.0,0.100756,274,12,202895.3858
42,9722,22.861309,0.317527,0.325036,0.355277,0.0,0.0,0.000309,0.0,0.0,0.00072,0.000206,0.000103,0.000103,0.000206,0.000206,0.000103,0.0,0.0,0.000206,0.0,0.0,0.0,0.429037,0.076363,0.594816,0.074094,1.018004,0.86474,0,0,1089,2932,794,5996,0,0.0,0.106607,274,12,213242.6497
43,10158,23.043021,0.319157,0.324966,0.353613,0.0,0.0,0.000295,0.0,0.0,0.000788,0.000295,0.0,9.8e-05,0.000295,0.000197,9.8e-05,0.0,0.0,0.000197,0.0,0.0,0.013962,0.385873,0.07829,0.527812,0.074218,1.018806,0.77722,0,1146,710,3868,737,5553,0,0.0,0.111472,290,12,222596.8508
44,9333,23.23661,0.321761,0.325083,0.351013,0.0,0.0,0.000214,0.0,0.0,0.00075,0.000321,0.0,0.000107,0.000321,0.000214,0.000107,0.0,0.0,0.000107,0.0,0.0,0.0,0.439769,0.079402,0.595328,0.074112,1.01887,0.88621,0,0,825,3090,492,5751,0,0.0,0.116394,290,12,231654.8479
45,9816,23.396731,0.321414,0.326508,0.349939,0.0,0.0,0.000204,0.0,0.0,0.000713,0.000306,0.0,0.000102,0.000306,0.000306,0.0,0.0,0.0,0.000204,0.0,0.0,0.004757,0.393883,0.082814,0.531682,0.07429,1.019414,0.792889,4,1051,568,3238,1191,5387,0,0.0,0.121519,295,16,242427.3731
46,10869,23.503971,0.318429,0.328365,0.350722,0.0,0.0,0.000368,0.0,0.0,0.000828,0.000368,0.0,9.2e-05,0.000276,0.000276,0.0,0.0,0.0,0.000184,0.0,9.2e-05,0.006663,0.366765,0.085715,0.497011,0.074253,1.01869,0.73935,0,1801,748,3713,2208,4948,0,0.0,0.127472,307,16,256225.9211
47,9701,23.718995,0.319245,0.325533,0.352644,0.0,0.0,0.000309,0.0,0.0,0.000928,0.000412,0.0,0.000103,0.000309,0.000309,0.0,0.0,0.0,0.000206,0.0,0.0,0.0,0.441712,0.087894,0.595616,0.074242,1.018961,0.89063,0,0,1168,3315,0,6386,0,0.0,0.132526,307,16,265065.8154
48,9669,23.897004,0.322164,0.322784,0.352363,0.0,0.0,0.00031,0.0,0.0,0.000931,0.000414,0.0,0.000103,0.00031,0.00031,0.0,0.0,0.0,0.00031,0.0,0.0,0.007564,0.417446,0.090981,0.554941,0.074167,1.019034,0.841762,0,661,693,2973,773,5923,0,0.0,0.137719,312,16,275657.8055
49,9839,24.079955,0.321984,0.317614,0.35715,0.0,0.0,0.000305,0.0,0.000102,0.001016,0.000508,0.000102,0.000203,0.000407,0.000305,0.0,0.0,0.0,0.000305,0.0,0.0,0.014623,0.408011,0.091877,0.541841,0.074123,1.019534,0.823254,0,889,719,3641,726,5472,0,0.0,0.14217,325,16,285509.9372
50,10424,24.230364,0.320798,0.317632,0.358308,0.0,0.0,0.000288,0.0,9.6e-05,0.001151,0.00048,9.6e-05,9.6e-05,0.000384,0.000288,0.0,9.6e-05,0.0,0.000288,0.0,0.0,0.004428,0.391491,0.09329,0.518324,0.074233,1.021992,0.78962,0,1355,770,4026,1376,5022,0,0.0,0.146924,331,16,297080.8302
51,9407,24.385796,0.321675,0.316785,0.358775,0.0,0.0,0.000319,0.0,0.000106,0.001063,0.000319,0.000106,0.000106,0.000213,0.000106,0.0,0.000106,0.0,0.000319,0.0,0.0,0.0,0.454985,0.095222,0.596922,0.074233,1.021626,0.918146,0,0,1017,2463,1181,5763,0,0.0,0.152589,331,16,309489.1132
52,10410,24.549917,0.321037,0.319789,0.356484,0.0,0.0,0.000288,0.0,9.6e-05,0.001057,0.00048,9.6e-05,9.6e-05,0.000192,9.6e-05,0.0,9.6e-05,0.0,0.000192,0.0,0.0,0.006828,0.383452,0.096826,0.504595,0.07408,1.020462,0.773679,0,1611,608,3921,1104,5385,0,0.0,0.157212,342,16,320717.7767
53,9426,24.745126,0.323043,0.318481,0.355718,0.0,0.0,0.000318,0.0,0.000106,0.000955,0.00053,0.000106,0.000106,0.000212,0.000106,0.0,0.000106,0.0,0.000212,0.0,0.0,0.0,0.45808,0.097847,0.596581,0.07416,1.020432,0.924146,0,0,984,3136,430,5860,0,0.0,0.161838,342,16,330833.2707
